,0,1,0,1
0,ffname,yash,breed_name,Tibetan Spaniel
1,lname,gadodia,temperment,"Playful, Bright, Self-Confident"
2,adoptpet,dog,img,https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28170708/Tibetan-Spaniel-laying-down-outdoors.jpg
3,email,y@gmail.com,description,"The frisky and curious Tibetan Spaniel was bred ages ago for sentinel work on the walls of Tibetan monasteries. Known for a flat, silky coat and lions mane around the neck, the Tibetan Spaniel forms a tight, worshipful bond with their humans."
4,phone,9658741230,height,10 inches
5,address,abcd,weight,9-15 pounds
6,anypet,No,life_expectancy,12-15 years
7,PetName_s,husky,grp,Non-Sporting Group
8,PetBreed_s,husky,color_options,"['Black', 'Black & Tan', 'Cream', 'Gold', 'Red', 'Sable', 'Silver Sable', 'White']"
9,disposition,abcd,,
10,veterinarian_num,654123089,,
11,renthome,Rent,,
12,yard,Yes,,
13,ifyes,NA,,
14,petpolicy,hgashc2422a,,
15,ifrent,NA,,
16,lownokill,No,,
17,child,0,,
18,ifchildyes,ajhdvckabd,,
19,hrsperday,abdkadbv,,
20,crate,Yes,,
21,emergently,akjbsjcba7,,
22,behaveissue,ajhvdjhva,,
23,referencesnumber,asbjhbajhsc,,
24,crate2,Yes,,
25,detaileddescription,ahbjhc,,
26,Signature,yash,,
